gene_id,T1_FPKM,T2_FPKM,T3_FPKM,T4_FPKM,T5_FPKM,T6_FPKM,T7_FPKM,T8_FPKM,T9_FPKM,T10_FPKM,T11_FPKM,T12_FPKM,T13_FPKM,T14_FPKM,T15_FPKM
YAL027W,664.647,635.803,408.225,192.278,443.425,663.961,744.376,735.593,720.504,412.0775,913.739,105.721,994.537,960.554,778.731
YAL028W,211.294,182.094,128.436,349.684,247.754,559.106,676.025,651.203,701.953,42.872,165.238,210.216,213.396,214.289,191.229
YAL029C,180.905,239.425,343.542,779.176,23.917,178.312,235.396,238.973,239.992,225.84699999999998,121.646,135.194,17.353,153.314,138.505
YAL030W,383.738,331.215,253.512,154.845,80.967,181.215,166.289,182.413,174.189,237.637,342.176,445.089,400.63,392.171,477.441
YAL031C,241.897,209.604,199.882,14.245,195.986,238.815,23.259,215.758,236.541,269.2255,219.627,213.504,22.733,208.759,212.373
YAL031W-A,351.314,212.619,258.426,200.345,294.277,335.908,278.663,355.565,363.816,322.5785,549.726,306.127,341.375,232.336,362.423
YAL032C,368.141,399.656,434.822,346.897,407.837,344.009,349.005,321.983,330.661,455.8555,498.775,645.516,615.709,535.047,477.074
YAL033W,44.838,400.759,576.872,886.099,142.589,929.008,786.192,744.663,714.474,607.692,571.614,509.607,547.022,506.907,522.577
YAL034C,117.752,959.359,653.877,394.012,28.055,347.965,361.209,355.867,36.639,435.57050000000004,824.972,103.77,995.094,979.736,111.266
YAL034C-B,118.073,627.024,113.492,865.274,226.708,18.145,172.941,256.309,164.604,181.9555,158.319,164.211,147.698,110.389,753.244
YAL034W-A,23.771,203.872,161.509,210.676,371.011,493.248,57.488,566.687,550.875,474.1295,375.495,316.833,271.702,20.676,220.815
YAL035W,117.919,129.128,163.061,327.007,252.428,157.742,165.398,164.893,143.129,135.862,792.843,936.211,130.929,109.545,114.101
YAL036C,557.562,735.816,111.396,261.542,174.61,527.252,597.966,538.509,513.043,430.7835,11.255,946.359,445.573,463.699,49.093
YAL037C-A,0.0,778.384,0.0,0.0,0.0,0.0,691.342,631.981,850.755,457.69,0.0,0.0,0.0,956.829,0.0
YAL037C-B,2295.75,1918.34,1738.02,1779.07,693.359,307.285,396.538,569.977,714.199,849.6800000000001,545.741,374.184,442.516,1184.82,1890.3
YAL037W,211.812,189.809,150.943,16.809,207.932,337.145,324.892,300.058,264.555,226.9155,264.118,16.075,180.949,241.053,22.466
YAL038W,2904.85,2398.23,2172.79,2206.87,821.57,386.765,510.612,701.269,880.043,1046.4,628.024,451.173,556.73,1488.55,2307.42
YAL039C,796.554,101.034,145.373,152.976,104.754,130.377,936.847,785.165,847.995,115.0735,172.511,173.085,133.68,120.711,130.141
YAL040C,267.432,271.598,480.783,866.409,908.886,571.953,36.386,300.969,301.303,381.23199999999997,166.053,191.521,258.705,359.835,25.038
YAL041W,343.491,371.794,391.134,396.224,33.488,337.391,329.195,321.172,33.283,356.8355,292.988,265.013,294.236,274.663,289.358
YAL042C-A,665.788,793.178,790.276,112.146,935.016,873.773,847.355,113.087,862.842,981.268,849.496,121.016,110.117,998.355,112.068
YAL042W,117.259,119.67,134.177,149.88,136.483,142.968,161.346,157.638,147.821,164.805,169.746,160.599,168.55,155.33,146.728
YAL043C,288.972,309.522,348.983,330.375,300.575,275.884,304.809,279.917,282.624,298.122,189.377,228.278,283.085,266.812,265.112
YAL044C,407.345,393.495,458.189,596.308,629.656,656.217,539.043,404.246,409.389,466.315,469.014,469.832,406.223,432.157,477.202
YAL044W-A,224.677,184.77,158.802,219.481,158.67,205.741,191.877,183.937,205.492,191.9435,267.33,293.284,304.926,278.929,267.519
YAL045C,150.486,139.329,142.27,117.1,110.899,127.775,114.179,122.884,137.442,152.31650000000002,184.023,189.855,188.037,232.979,217.33
YAL046C,113.66,122.352,127.787,127.631,124.705,195.681,213.377,204.003,219.907,289.31100000000004,302.097,256.219,143.076,157.141,154.609
YAL047C,180.208,18.703,190.055,185.897,196.985,186.404,205.906,181.051,175.608,194.054,141.682,111.045,151.337,135.385,138.337
YAL047W-A,101.217,479.336,500.943,827.442,316.273,248.839,243.706,640.904,203.511,598.3634999999999,106.555,101.437,515.254,483.974,558.975
YAL048C,272.692,243.035,208.624,209.282,151.996,196.423,206.091,214.744,204.578,196.143,189.902,244.939,245.885,224.155,214.327
YAL049C,289.154,245.536,199.967,117.057,687.798,130.362,141.634,121.776,135.246,167.95299999999997,282.286,323.536,318.551,340.257,363.449
YAL051W,221.595,215.047,166.457,158.393,170.274,207.175,185.712,184.148,175.601,174.40449999999998,14.878,16.953,19.983,215.374,207.059
YAL053W,876.607,827.049,123.772,209.908,827.324,676.595,900.597,90.628,932.658,993.3845,729.307,499.622,698.023,990.545,947.202
YAL054C,1329.69,852.71,447.727,501.238,802.014,115.328,121.398,154.605,23.397,235.0695,2493.52,3791.47,2983.2,2072.99,1708.26
YAL055W,637.543,640.952,624.406,158.912,281.241,462.292,46.505,444.074,559.089,561.738,510.857,446.445,656.832,742.028,836.013
YAL056C-A,284.592,264.872,349.339,548.686,475.588,245.571,291.209,263.912,225.712,266.54200000000003,248.647,141.651,202.343,254.322,239.154
YAL056W,50.951,427.173,339.075,974.464,14.653,34.05,298.881,294.322,333.426,337.31,483.109,469.679,473.189,492.964,489.109
YAL058W,219.799,257.447,288.523,40.899,366.075,218.107,255.802,246.774,238.726,253.81900000000002,178.004,174.901,21.282,206.736,24.528
YAL059C-A,322.148,532.085,91.101,274.004,318.535,362.237,313.485,303.984,245.989,209.05349999999999,707.652,413.481,256.931,206.115,293.958
YAL059W,516.524,726.316,128.772,362.814,429.159,557.647,405.423,340.725,264.607,260.4855,102.726,102.344,328.133,362.713,409.019
YAL060W,235.067,161.104,110.907,481.031,631.826,226.744,206.984,194.462,250.408,295.067,653.024,684.451,281.796,353.155,347.729
YAL061W,235.256,177.14,883.906,59.216,135.177,364.164,178.063,152.272,184.908,384.025,471.425,423.096,220.609,288.046,314.808
YAL062W,179.777,202.737,233.353,222.611,878.515,263.084,164.448,692.733,655.974,516.955,348.313,277.222,148.013,236.517,268.688
YAL063C,426.934,35.297,274.966,245.905,446.206,575.374,47.362,469.169,559.973,533.78,554.249,542.108,4.086,39.028,402.101
YAL063C-A,60.383,0.0,255.681,600.655,132.502,460.456,653.114,398.024,124.121,360.6115,267.045,582.402,0.0,301.307,379.285
YAL064C-A,0.209259,0.196415,0.442219,0.25972,0.0,0.398197,0.188615,0.517259,0.214677,0.18478,0.230937,0.251827,0.523332,0.0,0.0
YAL064W,356.344,16.738,0.0,0.0,293.229,0.848334,160.595,0.734029,0.0,78.7325,0.0,214.601,111.493,111.133,0.0
YAL064W-B,617.313,530.322,386.942,246.734,505.106,876.034,782.752,655.195,772.838,632.9295,773.639,591.794,627.999,33.936,67.364
YAL065C,268.295,242.309,117.667,0.251298,0.999735,192.642,141.446,221.063,228.487,177.68599999999998,27.931,408.132,189.886,233.653,194.757
YAL066W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAL067C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAL067W-A,893.175,123.692,151.305,133.648,185.336,137.691,202.062,201.863,200.078,191.0435,77.545,312.392,712.105,953.696,105.986
YAL068C,364.089,355.306,596.697,841.575,556.324,535.424,867.291,702.663,63.599,589.2745,36.341,140.206,299.155,291.076,30.259
YAL068W-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAL069W,228.341,122.611,10.352,303.992,32.211,403.931,352.825,201.581,100.509,54.513555000000004,0.0,844.961,122.508,0.610394,307.346
YAR002C-A,260.782,253.396,263.331,325.673,367.643,390.163,484.87,509.895,494.063,419.34299999999996,373.628,311.077,242.041,257.329,287.465
YAR002W,366.271,380.054,521.711,905.557,638.661,417.412,462.903,475.077,460.559,498.96349999999995,249.022,254.518,357.859,38.322,36.489
YAR003W,32.618,276.514,295.988,328.429,46.808,54.288,590.804,508.507,500.524,233.4395,337.662,298.545,316.672,343.607,300.009
YAR007C,848.977,873.332,818.214,472.231,723.091,157.422,167.623,144.217,132.081,551.193,807.268,733.577,741.297,951.081,863.664
YAR008W,260.843,356.649,388.294,363.107,578.262,105.91,129.794,98.629,728.375,376.3845,433.114,270.495,252.064,439.063,281.957
YAR009C,971.527,930.948,852.872,919.336,569.008,638.192,817.828,884.746,857.692,741.2845,664.632,708.615,606.034,571.613,586.709
YAR010C,726.272,737.621,749.349,833.776,384.865,455.783,560.925,602.925,52.161,433.404,432.252,51.848,452.272,470.216,479.339
YAR014C,508.929,499.637,576.546,842.749,101.861,755.832,758.778,675.914,603.199,592.6015,460.747,447.996,482.901,454.417,462.999
YAR015W,174.941,212.324,276.75,711.62,647.139,867.545,500.8,349.532,332.728,311.07849999999996,181.62,118.082,106.582,138.313,151.154
YAR018C,121.222,123.045,172.611,229.034,123.026,121.847,110.173,998.812,101.381,115.547,123.527,235.423,609.031,365.452,194.324
YAR019C,115.614,12.012,111.544,115.279,105.679,981.041,864.707,855.242,831.132,477.661,123.275,104.339,10.591,92.564,943.167
YAR019W-A,391.602,237.813,662.386,389.026,263.124,223.668,211.782,246.687,562.727,407.4755,345.913,292.593,0.979854,0.989641,245.977
