Gene_ID	Expression
YBR234C	175.3
YBR235W	260.362
YBR236C	498.336
YBR237W	302.408
YBR238C	320.961
YBR239C	840.346
YBR240C	969.401
YBR241C	301.051
YBR242W	102.189
YBR243C	31.487
YBR244W	506.269
YBR245C	216.642
YBR246W	235.313
YBR247C	329.087
YBR248C	653.649
YBR249C	318.052
YBR250W	742.574
YBR251W	534.983
YBR252W	943.371
YBR253W	180.116
YBR254C	550.709
YBR255C-A	444.615
YBR255W	359.918
YBR256C	330.45
YBR257W	64.412
YBR258C	508.878
YBR259W	179.582
YBR260C	255.869
YBR261C	645.305
YBR262C	326.685
YBR263W	152.368
YBR264C	846.188
YBR265W	112.345
YBR266C	284.116
YBR267W	429.808
YBR268W	150.758
YBR269C	632.618
YBR270C	22.779
YBR271W	166.668
YBR272C	605.704
YBR273C	131.307
YBR274W	330.619
YBR275C	133.283
YBR276C	463.965
YBR277C	841.593
YBR278W	142.389
YBR279W	903.455
YBR280C	970.541
YBR281C	281.517
YBR282W	129.462
YBR283C	158.095
YBR284W	863.852
YBR285W	279.255
YBR286W	893.995
YBR287W	122.589
YBR288C	32.628
YBR289W	290.217
YBR290W	150.965
YBR291C	636.429
YBR292C	830.173
YBR293W	268.945
YBR294W	116.377
YBR295W	729.811
YBR296C	25.507
YBR296C-A	830.447
YBR297W	761.761
YBR298C	299.238
YBR298C-A	0
YBR299W	299.045
YBR300C	104.109
YBR301W	156.358
YBR302C	290.207
YCL001W	221.714
YCL001W-A	125.384
YCL001W-B	737.238
YCL002C	586.661
YCL004W	163.314
YCL005W	427.594
YCL005W-A	1064.75
YCL007C	622.006
YCL008C	374.462
YCL009C	377.545
YCL010C	990.755
YCL011C	142.372
YCL012C	258.16
YCL014W	102.726
YCL016C	363.657
YCL017C	115.199
YCL018W	180.219
YCL019W	262.731
YCL020W	0
YCL021W-A	220.561
YCL022C	215.069
YCL023C	839.929
YCL024W	185.517
YCL025C	890.231
YCL026C-A	486.031
YCL026C-B	51.149
YCL027W	12.857
YCL028W	188.506
YCL029C	439.782
YCL030C	131.378
YCL031C	100.607
YCL032W	935.137
YCL033C	501.933
