,flux
R_EX_acald_e,0.0352778045010445
R_EX_aces_e,0.04383670469171675
R_EX_galur_e,9.804751414468106e-09
R_EX_gam6p_e,0.09198380309432244
R_EX_gcald_e,9.877026326195023e-09
R_EX_glc__D_e,-1.0253239615751857
R_EX_gln__L_e,2.3477755672178223e-06
R_EX_glu__L_e,2.6180697493506545e-05
R_EX_glx_e,4.0360144398638385e-05
R_EX_ade_e,0.0
R_EX_adn_e,0.0
R_EX_akg_e,5.759813153173992e-07
R_EX_ala__L_e,0.3500481984989397
R_EX_gly_e,0.07442875462962381
R_EX_glyc_e,0.1805420537654655
R_AACTOOR,1.725046628561823e-08
R_EX_gsn_e,0.0
R_EX_gthox_e,2.5977916641538826e-09
R_EX_gthrd_e,8.037161675205444e-09
R_EX_alltn_e,0.0
R_EX_alltt_e,0.0
R_EX_amet_e,0.0
R_EX_arab__D_e,4.4604509145813274e-23
R_EX_arab__L_e,0.0
R_EX_gua_e,0.0
R_EX_arg__L_e,0.0
R_EX_h2o_e,-0.31769572483098507
R_AASAD1,6.238295282193776e-05
R_EX_h_e,-0.0201033174272291
R_EX_hdca_e,0.0
R_EX_hdcea_e,0.0
R_EX_asn__L_e,1.7172876952445266e-06
R_EX_asp__L_e,0.00161524819306515
R_EX_btd_RR_e,0.4049462279864401
R_EX_btn_e,5.1240756874158514e-17
R_EX_hexc_e,4.999721270465819e-08
R_AASAD2,0.0037423167127303
R_EX_his__L_e,0.0034116456061888
R_EX_hxan_e,0.0
R_EX_iamac_e,0.0089455563542623
R_EX_iamoh_e,0.0263755418854572
R_EX_ibutac_e,0.022031505034241353
R_EX_chol_e,8.848581301283883e-09
R_EX_cit_e,4.0884002218802406e-08
R_EX_co2_e,4.690022901481357
R_EX_crn_e,2.874696738845359e-18
R_EX_csn_e,0.0
R_EX_cys__L_e,0.030852687323319847
R_EX_cytd_e,0.0
R_EX_dad_2_e,0.0
R_EX_dann_e,1.2296326976518127e-19
R_EX_ibutoh_e,0.2381364710540383
R_EX_id3acald_e,0.0060378457944022
R_EX_ile__L_e,0.00054132113479425
R_EX_ind3eth_e,0.8185711191271654
R_EX_inost_e,9.656513951876085e-09
R_EX_dca_e,7.999792884616e-08
R_EX_dcyt_e,0.0
R_EX_ddca_e,2.399937865385021e-07
R_EX_ins_e,0.0
R_EX_k_e,-1.6592620190862063e-17
R_EX_dgsn_e,0.0
R_EX_din_e,0.0
R_EX_lac__D_e,0.0571052131233706
R_AATA,0.00380469966555225
R_EX_lac__L_e,0.03033670821729905
R_EX_lanost_e,2.0580466561203188e-06
R_EX_lanostest_SC_e,0.0
R_EX_dttp_e,0.0035181897815306498
R_EX_duri_e,0.0
R_EX_leu__L_e,8.101728067278616e-06
R_ABTA,0.00703515639564925
R_EX_lys__L_e,0.00236900736762485
R_EX_mal__L_e,0.0014071548100973
R_EX_malt_e,0.0
R_EX_ribflv_e,1.9725442233580368e-08
R_EX_sbt__D_e,0.8322789677223382
R_EX_man_e,0.0
R_ABTt,-9.7865255344054e-09
R_EX_melib_e,0.0
R_EX_met__L_e,0.016059626261887
R_EX_mmet_e,0.0
R_EX_na1_e,-2.0367268520638333e-18
R_EX_nac_e,1.6957170013816072e-08
R_EX_sbt__L_e,0.0
R_EX_ser__L_e,0.011558735624590501
R_EX_so3_e,0.1072335828768491
R_EX_so4_e,-0.17289266292013072
R_EX_spmd_e,0.0028682508703641
R_EX_sprm_e,0.0
R_EX_srb__L_e,9.725560003085892e-09
R_EX_succ_e,0.06273419853062465
R_EX_nadp_e,1.2343806968547015e-05
R_EX_nh4_e,-0.04297469844770285
R_EX_nmn_e,2.7329834170745018e-09
R_EX_sucr_e,0.0
R_EX_o2_e,-0.22238496253102008
R_EX_taur_e,3.136488562035601e-17
R_ABUTDm,9.129712309981007e-21
R_EX_thm_e,2.9233140416995113e-08
R_EX_oaa_e,3.4097835135944946e-05
R_EX_ocdca_e,0.0
R_EX_ocdcea_e,0.0
R_ABUTt2r,-0.0021415550527327503
R_EX_ocdcya_e,0.0
R_EX_orn_e,0.0075055739271605495
R_EX_thmmp_e,0.0
R_EX_thmpp_e,0.0
R_EX_thr__L_e,0.00026460518494905
R_EX_thym_e,0.00011627114413752712
R_EX_pacald_e,2.7680281881417394e-05
R_EX_pap_e,0.0
R_EX_thymd_e,1.8590694203340356e-09
R_ACACT1r,0.0
R_EX_tre_e,-0.2532752908084973
R_EX_trp__L_e,-0.8247638078515154
R_EX_pc_SC_e,0.0
R_EX_pectin_e,0.0
R_EX_pepd_e,0.0
R_EX_phe__L_e,4.2010123068909406e-05
R_EX_pheac_e,0.01438840889597475
R_EX_pi_e,-0.10527928749920425
R_EX_pnto__R_e,0.00449906160735725
R_EX_ttdca_e,5.446381406448346e-05
R_EX_tyr__L_e,0.02605351788261375
R_EX_ura_e,0.0
R_EX_urea_e,9.652881715144663e-05
R_EX_uri_e,0.0
R_EX_val__L_e,0.0019403341802767498
R_EX_xan_e,8.885263849461443e-08
R_EX_xtsn_e,0.0
R_EX_pro__L_e,0.0115650387988313
R_EX_ptd1ino_SC_e,0.0
R_EX_ptrc_e,0.06833821054077414
R_EX_pyr_e,0.0228087061053859
R_EX_xyl__D_e,0.0
R_EX_xylt_e,0.0
R_EX_rib__D_e,3.004273050285289e-09
R_ACACT1m,0.0010363162759163
R_EX_zymst_e,0.0
R_EX_zymstest_SC_e,0.0
R_FA100tp,0.0
R_ACACT4p,1.3980783284610275e-07
R_FA120ACPHi,-9.885886609328765e-09
R_FACOAL161,0.0006602241129669
R_FACOAL161p,-9.998599032057243e-09
R_FA120ACPtm,0.0
R_ACACT5p,1.4980631118107555e-07
R_FA120tp,0.0
R_FA140ACPHi,-9.784318411032444e-09
R_FACOAL180,0.00024292172547950002
R_FACOAL181,0.00091897841684155
R_FACOAL182,0.0003425947309775
R_FA140ACPtm,0.0
R_FACOAL240p,-1.9963345324058857e-08
R_FA140COAabcp,0.0
R_FA140tp,0.0
R_FA141ACPHi,-9.813065138253307e-09
R_FA141ACPtm,0.0
R_FACOAL260p,1.4994505463661323e-07
R_FACOAL80p,-1.9997231759383283e-08
R_FADFMNtm,9.918328886061733e-09
R_FALDH,0.0
R_FA141COAabcp,0.0
R_FAS161ACPm,0.0
R_FA141tp,0.0
R_FA160ACPHi,-9.272437817564594e-09
R_FA160ACPtm,0.0
R_FA160COAabcp,0.0
R_FAO141p_even,0.0
R_FAO141p_odd,0.0
R_FAO161p_even,0.0
R_FAO161p_odd,0.0
R_FAO181p_even,0.0
R_FA160tp,0.0
R_FA161ACPHi,-9.5363313357133e-09
R_FA161ACPtm,0.0
R_FAO181p_odd,0.0
R_FAS180,5.190513423457822e-05
R_FAO182p_eveneven,9.985677999387877e-09
R_FAO182p_evenodd,0.0
R_FAO182p_oddodd,0.0
R_FAO240p,0.0
R_FAO80p,1.2980928782317407e-07
R_FAS100,4.1944297055042626e-11
R_FA161COAabcp,0.0
R_FA161tp,0.0
R_FA180ACPH,6.652360079462127e-08
R_FA180ACPtm,6.652360080034752e-08
R_FA180COAabcp,1.9977408676241737e-07
R_FA181ACPH,-8.615829438785028e-09
R_FA181ACPtm,0.0
R_FA181COAabcp,0.0
R_FA182ACPH,-9.615732043943837e-09
R_FA182ACPtm,0.0
R_FA182COAabcp,0.0
R_FA240tp,0.0
R_FAS100ACPm,1.9960726654490195e-17
R_FAS100COA,0.0003266639813358
R_FAS120,7.606214634703194e-05
R_FAS120ACPm,2.494156601744954e-17
R_FAS120COA,0.0002449954967532
R_FAS140,0.00030422815651605
R_FAS140ACPm,1.9698951642086537e-08
R_FAS140COA,0.0
R_FAS141,0.0
R_FA260tp,1.499450556239189e-07
R_FA80tp,0.0
R_FACOAL100p,-1.9997163924756478e-08
R_FAS141ACPm,0.0
R_FACOAL120p,-1.999709883793166e-08
R_FACOAL140,0.0005196635605087499
R_FACOAL140p,-1.99970295877705e-08
R_FACOAL141,-9.39466510141429e-09
R_FACOAL141p,-9.998957634094197e-09
R_FAS160,0.000111068848808
R_FAS160ACPm,3.901960143167489e-08
R_FAS160COA,0.00011109675501025
R_FAS161,0.0
R_FACOAL160,0.0010873650015594
R_FACOAL160p,-1.999695317667083e-08
R_FAS180ACPm,6.652360079555506e-08
R_G3PDm,0.20730881426219894
R_FAS180COA,5.188554124401153e-05
R_GLUK,0.17568769970187595
R_G3PIt,0.0
R_FAS181,0.0
R_FAS181ACPm,0.0
R_FAS182ACPm,0.0
R_G3PT,0.5925870129292026
R_FAS240_L,0.0
R_G5SADs,0.10437274323672499
R_G5SADrm,-0.0882306619238427
R_FAS260,0.0
R_G5SD,0.0014071502901538
R_G5SD2,0.0835276552447137
R_GLUN,0.009253151310980999
R_GLUPRT,0.0005089076561947
R_G6PDA,0.0781535373439633
R_FAS80ACPm_L,1.4976308327771776e-17
R_G6PDH2r,0.6597968059946864
R_G6PDH2er,0.00033592717681575
R_G6PI,0.47314347471269214
R_G6PI3,0.6488311744145682
R_G6Pter,0.00033592717681575
R_GALIGH,-1.387778780781446e-17
R_GALKr,1.9627450282688834e-08
R_GALS3,9.888408272898733e-09
R_GALT,0.026069237847787502
R_GLUSx,0.11203671738927726
R_GLUTRS,5.151740941339777e-21
R_GLUTRSm,5.24417284294818e-21
R_GLUt2n,0.0
R_GLUt2r,-2.6180697493494165e-05
R_GLUt5m,0.0015131818812092
R_GLUt7,0.0
R_GLUt7m,0.01504243091532835
R_GLXt,4.0360144398621234e-05
R_GLXtp,-9.45752742786965e-09
R_GLYAT,0.0
R_GLYC3Ptm,0.1963646981393008
R_GALUi,0.1016212582402108
