Gene_ID	Expression
YDL071C	111.232
YDL072C	189.733
YDL073W	272.235
YDL074C	821.643
YDL075W	5304.99
YDL076C	542.782
YDL077C	221.496
YDL078C	298.689
YDL079C	612.596
YDL080C	600.634
YDL081C	4950.63
YDL082W	760.261
YDL083C	2785.05
YDL084W	375.522
YDL085C-A	638.204
YDL085W	144.778
YDL086C-A	532.948
YDL086W	475.933
YDL087C	181.974
YDL088C	681.649
YDL089W	512.255
YDL090C	448.126
YDL091C	714.334
YDL092W	285.896
YDL093W	338.431
YDL094C	936.587
YDL095W	116.403
YDL096C	606.612
YDL097C	262.734
YDL098C	555.879
YDL099W	157.844
YDL100C	346.66
YDL101C	634.907
YDL102W	294.135
YDL103C	105.75
YDL104C	398.757
YDL105W	233.972
YDL106C	421.975
YDL107W	508.451
YDL108W	460.879
YDL109C	76.705
YDL110C	396.708
YDL111C	698.929
YDL112W	200.926
YDL113C	381.432
YDL114W	307.633
YDL114W-A	323.288
YDL115C	941.896
YDL116W	473.644
YDL117W	219.713
YDL118W	151.846
YDL119C	203.851
YDL120W	256.967
YDL121C	177.746
YDL122W	879.401
YDL123W	112.628
YDL124W	301.459
YDL125C	428.171
YDL126C	448.539
YDL127W	398.458
YDL128W	151.901
YDL129W	154.455
YDL130W	2716.98
YDL130W-A	2176.53
YDL131W	303.47
YDL132W	70.477
YDL133C-A	60432.7
YDL133W	458.037
YDL134C	160.689
YDL135C	237.68
YDL136W	4107.46
YDL137W	734.421
YDL138W	251.121
YDL139C	160.664
YDL140C	634.572
YDL141W	334.386
YDL142C	433.125
YDL143W	186.956
YDL144C	852.713
YDL145C	892.093
YDL146W	224.836
YDL147W	407.806
YDL148C	387.784
YDL149W	155.667
YDL150W	368.176
YDL151C	341.241
YDL152W	433.779
YDL153C	744.166
YDL154W	121.085
YDL155W	63.062
YDL156W	196.327
YDL157C	276.295
YDL158C	764.197
YDL159C-B	816.733
YDL159W	230.119
YDL159W-A	0
YDL160C	292.756
YDL160C-A	192.597
YDL161W	140.408
YDL162C	344.508
YDL163W	49.172
YDL164C	513.902
YDL165W	111.872
YDL166C	102.909
YDL167C	211.204
YDL168W	143.439
YDL169C	785.216
YDL170W	386.013
YDL171C	177.25
YDL172C	131.01
YDL173W	133.706
YDL174C	861.659
YDL175C	42.443
YDL176W	160.295
YDL177C	66.821
YDL178W	208.873
YDL179W	141.516
YDL180W	708.368
YDL181W	3435.66
YDL182W	290.377
YDL183C	315.372
YDL184C	68781.3
YDL185C-A	142.397
YDL185W	126.644
YDL186W	184.923
YDL187C	248.839
YDL188C	89.575
YDL189W	39.019
YDL190C	494.098
YDL191W	4566.05
YDL192W	919.884
YDL193W	541.054
YDL194W	261.472
YDL195W	759.198
YDL196W	497.678
YDL197C	388.541
YDL198C	265.616
YDL199C	12.472
YDL200C	155.776
YDL201W	885.015
YDL202W	116.769
YDL203C	297.201
YDL204W	581.581
YDL205C	167.563
YDL206W	218.459
YDL207W	494.761
YDL208W	509.959
YDL209C	177.825
YDL210W	123.999
YDL211C	212.994
YDL212W	314.736
YDL213C	221.189
YDL214C	173.192
YDL215C	654.525
YDL216C	185.528
YDL217C	869.881
YDL218W	960.291
YDL219W	134.362
YDL220C	12.501
YDL221W	296.947
YDL222C	170.687
YDL223C	919.715
YDL224C	609.711
YDL225W	104.392
YDL226C	119.668
YDL227C	197.563
YDL228C	392.822
YDL229W	447.227
YDL230W	363.592
YDL231C	400.157
YDL232W	4591.88
YDL233W	185.115
YDL234C	381.172
YDL235C	175.415
YDL236W	131.852
YDL237W	105.263
YDL238C	146.418
YDL239C	177.767
YDL240C-A	0
YDL240W	146.443
YDL241W	691.693
YDL242W	168.572
YDL243C	239.298
YDL244W	323.094
YDL245C	14.088
YDL246C	127.222
YDL247W	111.723
YDL247W-A	2594.74
YDL248W	585.883
YDR001C	858.981
YDR002W	678.847
YDR003W	63.194
YDR003W-A	945.983
YDR004W	573.182
YDR005C	125.187
YDR006C	22.947
YDR007W	852.015
YDR008C	666.591
YDR009W	197.973
YDR010C	219.061
YDR011W	501.092
YDR012W	866.31
YDR013W	851.196
YDR014W	210.026
YDR014W-A	334.363
YDR015C	204.434
YDR016C	118.329
YDR017C	304.247
YDR018C	251.116
YDR019C	207.916
YDR020C	320.921
YDR021W	137.185
YDR022C	440.547
YDR023W	439.509
YDR024W	0
YDR025W	1499.94
YDR026C	469.606
YDR027C	352.666
YDR028C	878.084
YDR029W	671.146
YDR030C	124.663
YDR031W	123.162
YDR032C	271.881
YDR033W	805.454
YDR034C	654.906
YDR034C-A	2074.52
YDR034C-C	0
YDR034C-D	192.011
YDR034W-B	74.58
YDR035W	101.024
YDR036C	85.619
YDR037W	28.368
YDR038C	689.647
YDR039C	651.716
YDR040C	931.023
YDR041W	278.76
YDR042C	161.897
YDR043C	180.811
YDR044W	119.307
YDR045C	161.456
YDR046C	486.559
YDR047W	719.282
YDR048C	102.536
YDR049W	263.721
YDR050C	1162.05
YDR051C	110.279
YDR052C	536.314
YDR053W	322.079
YDR054C	190.147
YDR055W	379.294
YDR056C	184.426
YDR057W	465.322
YDR058C	482.548
YDR059C	174.275
YDR060W	639.852
YDR061W	79.817
YDR062W	162.46
YDR063W	181.62
YDR064W	3114.05
YDR065W	306.853
YDR066C	454.229
YDR067C	989.322
YDR068W	152.115
YDR069C	194.429
YDR070C	299.135
YDR071C	332.484
YDR072C	729.952
YDR073W	737.043
YDR074W	667.005
YDR075W	91.704
YDR076W	174.971
YDR077W	1847.73
YDR078C	527.248
YDR079C-A	160.007
YDR079W	332.652
YDR080W	237.434
YDR081C	322.231
YDR082W	29.106
YDR083W	653.983
YDR084C	922.582
YDR085C	377.348
YDR086C	1446.44
YDR087C	662.569
YDR088C	49.877
YDR089W	631.784
YDR090C	987.948
YDR091C	129.878
YDR092W	291.774
YDR093W	194.097
YDR094W	44.248
YDR095C	0
YDR096W	336.017
YDR097C	554.745
YDR098C	182.997
YDR098C-A	0
YDR098C-B	515.739
YDR099W	585.419
YDR100W	183.875
YDR101C	419.538
YDR102C	162.267
YDR103W	220.581
YDR104C	148.075
YDR105C	598.313
YDR106W	699.568
YDR107C	141.819
YDR108W	233.341
YDR109C	207.604
YDR110W	373.602
YDR111C	109.657
YDR112W	218.937
YDR113C	685.353
YDR114C	577.856
YDR115W	483.124
YDR116C	153.361
YDR117C	37.577
YDR118W	234.713
YDR118W-A	235.764
YDR119W	445.772
YDR119W-A	2590.01
YDR120C	636.671
YDR121W	103.433
YDR122W	340.349
YDR123C	442.423
YDR124W	166.222
YDR125C	128.972
YDR126W	185.057
YDR127W	626.813
YDR128W	174.753
YDR129C	152.103
YDR130C	416.083
YDR131C	212.282
YDR132C	335.752
YDR133C	313.158
YDR134C	1440.94
YDR135C	448.208
YDR136C	573.949
YDR137W	359.604
YDR138W	22.371
YDR139C	747.306
YDR140W	609.738
YDR141C	158.475
YDR142C	506.665
YDR143C	401.853
YDR144C	257.638
YDR145W	107.644
YDR146C	610.482
YDR147W	251.012
YDR148C	724.067
YDR149C	150.604
YDR150W	274.062
YDR151C	450.207
YDR152W	183.112
YDR153C	105.817
YDR154C	1313.51
YDR155C	2253.65
YDR156W	947.607
YDR157W	641.354
YDR158W	496.534
YDR159W	161.958
YDR160W	220.403
YDR161W	543.938
YDR162C	875.229
YDR163W	151.315
YDR164C	303.109
YDR165W	42.893
YDR166C	271.463
YDR167W	193.004
YDR168W	159.729
YDR169C	600.074
YDR169C-A	216.485
YDR170C	337.833
YDR170W-A	100.336
YDR171W	234.992
YDR172W	175.516
YDR173C	394.737
YDR174W	249.679
YDR175C	141.92
YDR176W	579.956
YDR177W	358.249
YDR178W	1461.41
YDR179C	546.125
YDR179W-A	180.994
YDR180W	124.057
YDR181C	464.797
YDR182W	554.596
YDR182W-A	175.713
YDR183C-A	783.429
YDR183W	690.864
YDR184C	401.254
YDR185C	428.601
YDR186C	767.218
YDR187C	806.942
YDR188W	209.19
YDR189W	531.694
YDR190C	205.424
YDR191W	285.478
YDR192C	217.593
YDR193W	14.807
YDR194C	180.092
YDR194W-A	0
YDR195W	356.868
YDR196C	760.816
YDR197W	403.501
YDR198C	39.421
YDR199W	619.564
YDR200C	328.049
YDR201W	871.555
YDR202C	617.128
YDR203W	75.135
YDR204W	500.597
YDR205W	212.821
YDR206W	450.769
YDR207C	208.918
YDR208W	419.545
YDR209C	137.529
YDR210C-C	0
YDR210C-D	499.237
YDR210W	258.606
YDR210W-A	0
YDR210W-B	207.508
YDR211W	801.978
YDR212W	153.935
YDR213W	118.116
YDR214W	482.926
YDR215C	998.677
YDR216W	463.587
YDR217C	188.207
YDR218C	129.921
YDR219C	480.818
YDR220C	134.299
YDR221W	298.041
YDR222W	232.334
YDR223W	126.224
YDR224C	1893.99
YDR225W	1019.88
YDR226W	1043.08
YDR227W	22.045
YDR228C	637.954
YDR229W	47.747
YDR230W	245.75
YDR231C	156.966
YDR232W	151.436
YDR233C	553.408
YDR234W	261.996
YDR235W	408.596
YDR236C	72.471
YDR237W	177.305
YDR238C	115.361
YDR239C	161.344
YDR240C	235.107
YDR241W	284.324
